time,racer,x,y,z,speed,grounded,branch,position,earned,rejoinSeconds,road,nextGate,misses,penalty,buzzes
7.480,GOLD,320.880,36.786,431.337,31.531,4,none,0.000,0.000,0.000,83.326,1,0,0.000,0
7.480,BLUE,316.952,37.369,429.279,31.452,4,none,0.000,0.000,0.000,85.489,1,0,0.000,0
7.620,YOU reference pilot,321.510,29.290,458.865,30.031,4,none,0.000,0.000,0.000,54.814,1,0,0.000,0
7.620,EMBER,317.099,30.445,454.703,29.304,4,none,0.000,0.000,0.000,59.184,1,0,0.000,0
7.620,GOLD,320.856,37.977,427.086,31.530,4,none,0.000,0.000,0.000,87.742,1,0,0.000,0
7.620,BLUE,316.931,38.557,425.039,31.452,4,none,0.000,0.000,0.000,89.891,1,0,0.000,0
7.740,YOU reference pilot,321.484,30.249,455.371,30.319,4,none,0.000,0.000,0.000,58.432,1,0,0.000,0
7.740,EMBER,317.087,31.387,451.292,29.625,4,none,0.000,0.000,0.000,62.717,1,0,0.000,0
7.740,GOLD,320.840,38.999,423.443,31.530,4,none,0.000,0.000,0.000,91.528,1,0,0.000,0
7.740,BLUE,316.915,39.574,421.404,31.451,4,none,0.000,0.000,0.000,93.663,1,0,0.000,0
7.880,YOU reference pilot,321.453,31.385,451.255,30.639,4,none,0.000,0.000,0.000,62.696,1,0,0.000,0
7.880,EMBER,317.070,32.502,447.268,29.984,4,none,0.000,0.000,0.000,66.886,1,0,0.000,0
7.880,GOLD,320.825,40.189,419.193,31.529,4,none,0.000,0.000,0.000,95.945,1,0,0.000,0
7.880,BLUE,316.902,40.760,417.164,31.451,4,none,0.000,0.000,0.000,98.064,1,0,0.000,0
8.020,YOU reference pilot,321.420,32.538,447.100,30.916,4,none,0.000,0.000,0.000,67.005,1,0,0.000,0
8.020,EMBER,317.050,33.635,443.197,30.328,4,none,0.000,0.000,0.000,71.104,1,0,0.000,0
8.020,GOLD,320.815,41.379,414.942,31.529,4,none,0.000,0.000,0.000,100.362,1,0,0.000,0
